case_name,Lobs[erg/s],dLobs-[erg/s],dLobs+[erg/s],Tobs[K],dTobs-[K],dTobs+[K],,,,
AT2019dsg,2.88E+44,3.14E+43,3.52E+43,38904.5145,1750.99159,1833.513281,,44.45939249,4.59,
AT2019meg,2.29E+44,1.53E+43,2.21E+43,27542.28703,626.9389941,641.5422793,,44.35983548,4.44,
ASASSN-19dj/AT2019azh,6.15E+44,1.70E+43,1.70E+43,50118.72336,3000,3000,,44.78887512,4.7,Outside L and T ranges
PS1-10jh,1.62E+44,2.41E+43,2.84E+43,29000,2000,2000,,44.20951501,4.462397998,
PTF-09djl,2.51E+44,5.17E+43,6.50E+43,26000,3000,3000,,44.39967372,4.414973348,
iPTF-15af,1.50E+44,4.81E+43,8.14E+43,48600,6800,8800,,44.17609126,4.686636269,Too high temperature
AT2018hco,1.66E+44,1.46E+43,1.60E+43,24547.08916,558.7599667,571.7751582,,44.22010809,4.39,
AT2018lna,3.47E+44,3.77E+43,6.06E+43,38904.5145,2596.709022,2782.423848,,44.54032947,4.59,
